Search terms report
"September 20, 2025 - October 3, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
mortgage brokering,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction remodeling loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank statement loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lenders california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
real estate investing,Broad match,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage connections,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
sellers financing real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
newfi,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money,AI Max,Added,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loan lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
velocity commercial capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to apply for a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan arizona,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best hard money lenders in arizona,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
secured loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage for investment property,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
qualify for a mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
watermark loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loans for investment properties,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
sovereign lending group,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr,Broad match,None,Capital Bridge Solutions,DSCR Loans,27,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money commercial construction loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nfm lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
subto,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
prestamo dcr,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan network,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
broker for mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
self employed loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usaa mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders private,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
stated income loans colorado,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
downpayment for dscr loan,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders interest rates,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders 100 financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
foundation mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
short term loan for self employed,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,2.30,2.30,Search,0.00%,0.00,0.00
hard money mortgage lenders,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bpl lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cityscape finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
portfolio loans are,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
caliber mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank statement loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usaa home lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is a dcrs loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan california,Phrase match,None,Capital Bridge Solutions,DSCR Loans,3,1,33.33%,USD,12.30,12.30,Search,0.00%,0.00,0.00
dscr loan meaning,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,6,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pre approval for home loan process,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bedrock land finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital solutions loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage companies in california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dunmor capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
secured capital lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr in loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan factory,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr meaning,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
aspire loans california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to finance house,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capitalpremium finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
calculate dscr,Exact match,Added,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
easy street capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
newday commercial capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction remodeling loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
silverhill financial,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
figure lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loan approval,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,9.20,9.20,Search,0.00%,0.00,0.00
home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
online lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,16.27,16.27,Search,0.00%,0.00,0.00
dscr loan rate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage service,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
gator lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridgecore capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private money lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan calculator,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how can i get mortgage loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
financing for rental properties,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage property loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,5,1,20.00%,USD,0.44,0.44,Search,0.00%,0.00,0.00
lux lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendsure,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
d capital mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan officer,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard equity lender,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
need money to finish building my house,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cdfi lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
asset based lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
apartment building investment,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
second mortgage lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loanranger,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quick capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
real estate investment,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lending for start up business,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
residential construction loans california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,2,200.00%,USD,7.02,14.04,Search,0.00%,0.00,0.00
dscr loan,Exact match,Added,Capital Bridge Solutions,DSCR Loans,33,1,3.03%,USD,2.68,2.68,Search,0.00%,0.00,0.00
what is dscr,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
housing loan company,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lgv capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how do i get preapproved for a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan interest rate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nevada mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private party lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
defy mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital finance llc,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge invest,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital loan associates,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hope loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home on loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
brokered mortgage loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
finance for projects,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
looking for business loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.78,0.78,Search,0.00%,0.00,0.00
owner finance crexi,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for starting up a business,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how can i get preapproved for a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
house flipping financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr formula,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial construction lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loans explained,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
easy capital access,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mega capital funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quality loan service,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital mortgage services of texas,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is the current dscr loan rate,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
investment loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is a dscr loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
ellis equity lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
secure future lending and investment corporation,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capitalpremium finance com,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loans indiana,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendsure dscr,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
west capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr rate,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
silver lake financial,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
new american funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california loan program,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usaa mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
liberty finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loan application,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get money for real estate investing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
eastern capital express lending corporation,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr real estate loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quick capital funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dignified home loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan business,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rental loans no income verification,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
finding mortgage lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
international commercial loans fast and easy,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lending corner,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
co op mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
seller carryback financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,2,200.00%,USD,3.87,7.74,Search,0.00%,0.00,0.00
chattanooga mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
logan lending group inc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
equity mortgages,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank statement loans florida,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money real estate lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,5,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan process,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
